box;hatch_date
1;2020-05-04
2;2020-05-02
5;2020-05-05
6;2020-05-09
18;2020-05-03
21;2020-05-02
22;2020-05-04
26;2020-05-02
27;2020-05-03
29;2020-05-05
33;2020-05-05
36;2020-05-04
37;2020-05-07
42;2020-05-07
47;2020-05-01
56;2020-05-03
61;2020-05-06
68;2020-05-03
69;2020-05-04
77;2020-05-07
81;2020-05-04
86;2020-05-05
96;2020-05-05
98;2020-05-04
99;2020-05-05
111;2020-05-05
116;2020-05-03
117;2020-05-03
127;2020-05-01
129;2020-05-03
136;2020-05-05
140;2020-05-02
142;2020-05-02
150;2020-05-05
152;2020-05-05
154;2020-05-05
160;2020-05-07
170;2020-05-03
172;2020-05-05
178;2020-05-07
179;2020-05-07
180;2020-05-07
182;2020-05-06
188;2020-05-05
191;2020-05-04
193;2020-05-06
194;2020-05-04
196;2020-05-07
197;2020-05-07
200;2020-05-07
206;2020-05-07
213;2020-05-05
216;2020-05-07
220;2020-05-04
226;2020-05-02
230;2020-05-01
232;2020-05-04
235;2020-05-05
238;2020-05-03
241;2020-05-03
243;2020-05-01
245;2020-05-02
246;2020-05-04
247;2020-05-05
248;2020-05-05
250;2020-05-02
255;2020-05-05
256;2020-05-02
259;2020-05-04
262;2020-05-07
265;2020-05-04
267;2020-05-07
268;2020-05-04
271;2020-05-09
274;2020-05-02
277;2020-05-06
